timestamp,level,data source
2026-06-02T20:03:00Z,SEDENTARY,Fitbit App
2026-06-02T20:04:00Z,SEDENTARY,Fitbit App
2026-06-02T20:05:00Z,SEDENTARY,Fitbit App
2026-06-02T20:06:00Z,SEDENTARY,Fitbit App
2026-06-02T20:07:00Z,SEDENTARY,Fitbit App
2026-06-02T20:08:00Z,SEDENTARY,Fitbit App
2026-06-02T20:09:00Z,SEDENTARY,Fitbit App
2026-06-02T20:10:00Z,SEDENTARY,Fitbit App
2026-06-02T20:11:00Z,SEDENTARY,Fitbit App
2026-06-02T20:12:00Z,SEDENTARY,Fitbit App
2026-06-02T20:13:00Z,SEDENTARY,Fitbit App
2026-06-02T20:14:00Z,SEDENTARY,Fitbit App
2026-06-02T20:15:00Z,SEDENTARY,Fitbit App
2026-06-02T20:16:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T20:17:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T20:18:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T20:19:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T20:20:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T20:21:00Z,SEDENTARY,Fitbit App
2026-06-02T20:22:00Z,SEDENTARY,Fitbit App
2026-06-02T20:23:00Z,SEDENTARY,Fitbit App
2026-06-02T20:24:00Z,SEDENTARY,Fitbit App
2026-06-02T20:26:00Z,SEDENTARY,Fitbit App
2026-06-02T20:27:00Z,SEDENTARY,Fitbit App
2026-06-02T20:28:00Z,SEDENTARY,Fitbit App
2026-06-02T20:29:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T20:30:00Z,SEDENTARY,Fitbit App
2026-06-02T20:31:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T20:32:00Z,SEDENTARY,Fitbit App
2026-06-02T20:33:00Z,SEDENTARY,Fitbit App
2026-06-02T20:34:00Z,SEDENTARY,Fitbit App
2026-06-02T20:35:00Z,SEDENTARY,Fitbit App
2026-06-02T20:36:00Z,SEDENTARY,Fitbit App
2026-06-02T20:37:00Z,SEDENTARY,Fitbit App
2026-06-02T20:38:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T20:40:00Z,SEDENTARY,Fitbit App
2026-06-02T20:41:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T20:42:00Z,SEDENTARY,Fitbit App
2026-06-02T20:43:00Z,SEDENTARY,Fitbit App
2026-06-02T20:44:00Z,SEDENTARY,Fitbit App
2026-06-02T20:45:00Z,SEDENTARY,Fitbit App
2026-06-02T20:48:00Z,SEDENTARY,Fitbit App
2026-06-02T21:00:00Z,SEDENTARY,Fitbit App
2026-06-02T21:01:00Z,SEDENTARY,Fitbit App
2026-06-02T21:07:00Z,SEDENTARY,Fitbit App
2026-06-02T21:59:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T22:00:00Z,SEDENTARY,Fitbit App
2026-06-02T23:43:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T23:45:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T23:46:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-03T00:28:00Z,SEDENTARY,Fitbit App
2026-06-03T00:56:00Z,SEDENTARY,Fitbit App
2026-06-03T00:59:00Z,SEDENTARY,Fitbit App
2026-06-03T01:14:00Z,SEDENTARY,Fitbit App
2026-06-03T01:32:00Z,SEDENTARY,Fitbit App
2026-06-03T01:44:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-03T02:59:00Z,SEDENTARY,Fitbit App
